# multipoles are divided by excitation current and units are [T], [m] and [A]
# harmonics (dipole n=0): 00 01 02 03 04 05 06 07 08 09 10 11 12 13 14 
# MAG_LABEL   CURRENT[A]   <NORMAL_MULTIPOLES/CURRENT>[T/m^(n-1)/A]   <SKEW_MULTIPOLES/CURRENT>[T/m^(n-1)/A]
Q20-075   +3.997800e+00   +3.862872e-06 -6.590295e-02 +7.252844e-03 -7.153629e-02 +3.498019e+00 +2.221895e+03 -2.157456e+04 -7.814943e+05 +9.432463e+07 -2.444909e+11 -9.045953e+11 +1.239986e+13 -1.153078e+15 +5.654055e+18 -1.994273e+19   +5.279481e-07 -1.109677e-05 +1.763581e-03 +3.666749e-02 +7.284084e-01 -1.837292e+02 -1.388138e+04 +6.188914e+05 +8.430907e+07 -5.438226e+09 -2.689902e+11 +7.664440e+12 -8.625542e+14 -3.609893e+17 +9.424458e+18   
Q20-079   +3.997800e+00   +1.984333e-06 -6.651673e-02 -5.301508e-04 -3.910688e-02 +1.653252e-01 +2.172969e+03 -4.692343e+03 +8.962337e+03 +3.942121e+07 -2.582095e+11 -7.667782e+10 +5.174406e+12 -6.270069e+14 +5.257879e+18 +2.148733e+18   +3.113960e-06 -5.649230e-06 -8.679909e-03 +1.529390e-02 +4.720116e+00 -2.441398e+02 +2.365256e+04 +2.941155e+05 +3.583198e+07 +5.724676e+09 -9.779834e+10 -6.731322e+12 -5.313870e+14 -1.378727e+17 +7.826257e+18   
Q20-095   +3.997950e+00   -5.188151e-07 -6.625546e-02 -7.876472e-03 -4.200820e-02 -4.941145e+00 +1.891912e+03 +2.326155e+04 -5.924912e+04 +3.148656e+07 -2.529654e+11 -2.198295e+11 -8.571771e+12 -9.132826e+14 +5.032514e+18 +1.870185e+18   +1.672071e-06 -1.923341e-05 -4.070634e-03 -6.197436e-03 +4.403559e+00 -2.106226e+02 +5.730614e+03 +3.445508e+05 -2.173783e+07 +2.408156e+09 +9.823815e+10 -2.921222e+13 +8.803669e+14 -4.179952e+16 -1.162334e+19   
Q20-107   +3.996100e+00   +2.727642e-06 -6.586945e-02 +1.845051e-03 -8.013716e-04 +5.443262e-01 +1.869110e+03 -4.600260e+03 -2.015897e+05 +8.435337e+07 -2.534316e+11 -4.768732e+10 +4.203896e+12 -2.709692e+15 +5.292653e+18 -2.298171e+16   +1.905367e-06 -1.796788e-05 -4.405761e-03 +2.140408e-02 +3.914970e+00 -3.113183e+02 +1.552098e+04 +4.013591e+05 +2.276631e+07 +4.185115e+09 -8.099657e+10 +1.737619e+13 -8.863569e+14 +7.215638e+16 -2.995380e+18   
Q20-108   +3.996400e+00   +1.812770e-06 -6.597490e-02 -2.331828e-03 +8.239758e-03 -4.196347e+00 +1.907297e+03 +6.771417e+03 -9.573919e+05 +3.826992e+07 -2.601061e+11 -4.685995e+11 +3.983287e+13 -4.485367e+15 +4.908961e+18 +1.809784e+19   +9.925618e-07 -1.659346e-05 -9.295031e-04 -4.618412e-03 +2.446728e+00 -3.347212e+02 +1.373638e+04 -7.498922e+05 +5.316310e+07 +9.908485e+08 -1.024328e+11 -2.249463e+13 +2.422342e+15 -1.594153e+17 +1.951072e+19   
Q20-109   +3.998250e+00   +1.177310e-06 -6.629335e-02 -1.751540e-03 +1.956384e-02 -2.708640e+00 +1.948820e+03 -2.335634e+04 +1.437450e+06 +2.726463e+06 -2.660947e+11 -3.182260e+11 +2.700306e+13 +1.091157e+16 +4.574409e+18 -4.169347e+19   +2.324384e-06 -2.348249e-05 -6.118142e-03 +6.834933e-03 +2.565933e+00 -3.091578e+02 +1.176448e+03 +2.601751e+05 +3.930194e+07 +1.658387e+10 -4.180682e+11 +1.837114e+13 +3.705244e+15 +6.262930e+17 +3.382752e+19   
Q20-111   +3.998150e+00   +2.063384e-06 -6.635556e-02 +2.527396e-03 -8.401983e-02 +1.133165e+00 +2.074889e+03 -1.629580e+04 -3.590681e+05 -2.904869e+07 -2.578312e+11 -9.601781e+10 +7.852359e+13 -6.624644e+15 +5.229411e+18 +6.845914e+18   +1.840198e-06 -2.342739e-05 -4.644308e-03 +1.909357e-03 +5.472421e+00 -1.750533e+02 +7.439221e+03 -3.145432e+05 +1.211476e+07 +3.083384e+08 -6.735178e+11 +2.103775e+13 +2.518910e+15 +3.478494e+17 -2.411090e+19   
Q20-112   +3.997600e+00   +7.422478e-07 -6.574990e-02 -3.860156e-03 -5.500793e-03 -3.995925e+00 +2.023594e+03 +1.647354e+04 +1.384298e+05 -2.483707e+07 -2.499110e+11 -1.440199e+11 +1.263980e+13 -2.495848e+15 +5.338110e+18 -1.098669e+19   +1.284322e-06 +1.204990e-05 -1.830834e-03 +2.067204e-02 +3.880884e+00 -2.173256e+02 +1.238973e+04 +7.667826e+05 +5.766935e+07 +7.661830e+09 +4.265947e+11 +2.755396e+13 -1.080849e+15 -1.462211e+17 +2.698249e+19   
Q20-113   +3.996350e+00   +1.390453e-06 -6.581403e-02 -1.596149e-03 -3.167188e-03 +2.890292e-01 +1.964025e+03 -2.981598e+03 +3.819225e+04 -8.891839e+06 -2.496074e+11 -1.783302e+11 +8.657477e+12 +6.791582e+14 +4.984621e+18 -3.104858e+18   +5.750017e-07 -1.013821e-05 -5.688463e-04 +1.403980e-02 +8.969164e-01 -2.371089e+02 -2.204188e+03 -9.764608e+04 +6.190779e+06 +1.780122e+09 -1.114950e+11 -1.897659e+13 -9.632009e+13 -1.610709e+16 +8.917237e+18   
Q20-116   +3.998300e+00   +1.933928e-06 -6.557877e-02 -6.418683e-05 -6.594535e-02 -2.663449e-01 +1.972896e+03 -6.034375e+03 +3.333889e+04 +4.014371e+07 -2.498407e+11 -1.062341e+11 +2.396443e+12 +1.697563e+14 +5.196078e+18 -1.160131e+18   +4.910214e-07 -8.838889e-06 -1.789496e-04 +1.818586e-02 +2.162924e+00 -1.284185e+02 -1.127625e+03 +2.502341e+05 +1.872088e+07 +2.896794e+09 +2.045585e+11 -7.895073e+12 +1.587622e+15 +7.316475e+16 +4.558525e+18   
Q20-119   +3.998050e+00   +1.013020e-06 -6.572271e-02 -1.982328e-03 -2.043719e-02 +1.351607e-01 +2.035464e+03 +2.573194e+03 -2.054635e+05 -3.411313e+06 -2.546651e+11 +7.281715e+10 +3.122485e+13 +1.271891e+15 +5.256825e+18 -1.512343e+19   +9.902312e-07 +7.319961e-06 -1.878017e-03 +3.369303e-02 +3.364885e+00 -1.686681e+02 +3.323953e+03 +3.754708e+05 -9.179503e+06 -7.550253e+08 -3.340874e+10 +3.337545e+12 +2.215055e+14 +9.771691e+16 +2.585363e+18   
Q20-125   +3.997750e+00   +2.193842e-06 -6.548464e-02 +6.879997e-04 -3.087564e-03 -1.004502e+00 +2.127650e+03 -1.735325e+04 +3.993211e+05 +8.709389e+07 -2.526031e+11 +1.920564e+11 -3.703401e+11 +3.660234e+15 +4.898743e+18 +7.606108e+18   +3.862610e-07 +2.321493e-05 +6.313451e-04 +2.027844e-02 +1.022578e+00 -1.750437e+02 -6.254008e+03 +4.296172e+05 +1.810268e+07 -3.891739e+09 +3.033919e+11 -4.495088e+12 -9.738060e+12 -4.105932e+17 +1.891638e+19   
Q20-127   +3.997900e+00   +2.971593e-07 -6.557575e-02 -3.364541e-03 +1.590535e-02 -2.263752e+00 +1.996035e+03 +1.044605e+04 +1.717898e+05 +3.636084e+07 -2.478220e+11 -1.232991e+11 +2.056356e+13 -1.308863e+14 +5.266848e+18 -7.090990e+18   +1.044420e-06 +1.018803e-05 -2.156354e-03 -7.153741e-04 +3.420163e+00 -1.825656e+02 +5.855294e+02 +2.314268e+05 +1.686059e+07 +1.931863e+08 +2.241480e+11 -4.206123e+12 +7.254616e+14 -7.340049e+16 +5.056702e+18   
Q20-130   +3.998050e+00   +6.762629e-07 -6.581253e-02 -1.471177e-03 -4.016160e-02 -1.672531e+00 +2.201080e+03 +4.109726e+03 +3.528673e+05 +2.268824e+06 -2.499258e+11 +5.830192e+10 -1.469744e+13 -1.593878e+15 +5.070094e+18 +7.235695e+18   +1.755399e-06 +1.473520e-06 -1.084729e-03 -2.250313e-02 -7.246843e-01 -2.022799e+02 +3.543005e+03 +5.133408e+05 -2.229248e+07 +7.064689e+09 +1.310916e+11 +9.699721e+12 -4.473303e+15 -6.424652e+16 -2.412849e+18   
Q20-136   +3.998000e+00   +9.128389e-07 -6.552929e-02 -1.612295e-03 -1.036195e-01 -2.372953e+00 +1.957096e+03 -3.631946e+02 +2.922824e+05 +1.145515e+07 -2.480685e+11 -1.539937e+11 +2.051220e+12 +7.622124e+14 +5.244885e+18 -1.037043e+18   +1.589220e-06 -1.815282e-05 -2.490746e-03 +2.412659e-02 +2.145637e+00 -1.273110e+02 +5.678937e+03 +8.638122e+04 -1.042330e+06 -2.919047e+09 -4.952209e+10 -1.759628e+13 -1.622985e+15 -7.344640e+15 -1.764412e+19   
Q20-139   +3.998300e+00   +2.162064e-06 -6.616297e-02 +1.712933e-03 -3.483353e-02 +1.836560e+00 +2.191283e+03 -8.375072e+03 +6.363384e+05 +3.338862e+07 -2.539862e+11 +1.093401e+11 +1.381667e+12 -2.120404e+15 +5.373264e+18 -1.665507e+19   +6.923800e-07 -5.121126e-06 -7.454946e-05 +3.093127e-02 -4.802814e-01 -3.229810e+02 -8.805577e+03 -2.120932e+04 +4.416610e+07 +4.727377e+09 -3.142010e+11 -3.222975e+13 +2.156253e+14 -2.977813e+17 +3.626531e+17   
Q20-140   +3.998250e+00   +2.353292e-06 -6.599392e-02 +1.617323e-03 -9.900229e-03 +1.707673e+00 +2.121351e+03 -5.324454e+03 -6.448279e+05 +8.831619e+07 -2.515521e+11 -2.346525e+11 +3.957034e+12 +3.218115e+15 +4.804034e+18 -4.179509e+18   +3.928596e-07 -1.837192e-05 +1.129468e-03 +4.391264e-02 +7.369574e-01 -2.584648e+02 -1.117363e+04 +2.812688e+05 -6.891743e+06 +4.623440e+09 +2.475426e+11 +1.028458e+13 -3.520945e+14 -2.543075e+17 +3.621074e+19   
Q20-142   +3.998200e+00   +2.339942e-06 -6.622105e-02 +1.224967e-03 -1.108802e-01 +1.657445e+00 +1.990020e+03 -3.941141e+03 +5.762951e+05 +4.067448e+07 -2.528105e+11 -1.595688e+10 -2.363174e+13 -1.538787e+15 +5.193097e+18 +4.195606e+18   +7.846751e-07 +1.065484e-06 +5.065242e-04 +4.909522e-03 -4.641654e-01 -2.277381e+02 -7.753094e+03 +2.724236e+05 +4.676124e+07 +2.262339e+09 +2.337384e+11 -5.701706e+12 -9.252694e+14 +9.096128e+16 +3.047501e+18   
Q20-149   +3.998200e+00   +6.227727e-07 -6.599600e-02 -4.122328e-03 -3.968178e-02 -2.731249e+00 +2.026397e+03 +8.753176e+03 +2.466592e+04 +5.113659e+06 -2.572995e+11 -2.371921e+11 +1.897239e+13 +2.413666e+14 +5.222233e+18 +1.477957e+19   -3.215379e-07 -9.931934e-06 +3.467145e-03 +1.205084e-02 +7.310622e-01 -2.747716e+02 -1.452528e+04 -1.951465e+04 +3.578438e+07 +3.653657e+09 +1.910431e+11 -5.052799e+12 +1.265960e+15 +7.821902e+16 +2.927780e+18   
Q20-153   +3.998450e+00   +1.856202e-06 -6.571704e-02 +9.805755e-05 -5.178359e-02 -2.716213e+00 +1.970534e+03 -2.980052e+03 -1.605782e+04 +1.319681e+06 -2.498487e+11 +1.413985e+11 +2.555373e+12 -1.400935e+15 +5.264840e+18 +7.005322e+18   +1.016377e-06 -9.149038e-06 -1.106820e-03 +4.682289e-04 +2.396847e+00 -1.222645e+02 -1.634337e+03 +9.998252e+05 +1.882128e+07 +3.542605e+09 +1.092145e+11 -2.184566e+13 -2.087642e+15 +8.080599e+16 +1.389959e+19   
Q20-162   +3.997950e+00   +2.186431e-06 -6.593352e-02 +1.749911e-03 -5.834983e-02 -4.729156e-01 +1.911918e+03 -9.279928e+03 +1.727094e+05 +9.396080e+06 -2.540252e+11 -2.750322e+10 +5.507202e+12 -2.479641e+14 +5.192178e+18 +7.600615e+18   -1.322613e-06 -2.068334e-05 +5.454916e-03 +2.547551e-02 -2.012064e+00 -6.639398e+01 -1.705984e+04 +1.345146e+05 +3.639528e+07 -1.838575e+08 -2.907120e+10 -5.520829e+12 +1.136561e+15 +2.477147e+16 +2.467827e+16   
Q20-176   +3.995950e+00   +1.587209e-06 -6.676765e-02 -8.597620e-04 -5.791617e-02 -8.782795e-01 +2.004225e+03 +3.629532e+03 +2.496997e+05 +2.814162e+07 -2.550720e+11 -2.162406e+11 -8.017087e+12 -1.468042e+15 +5.036199e+18 +1.617232e+18   +1.526079e-06 -3.364081e-06 -3.556111e-03 +9.734276e-03 +3.793096e+00 -1.323301e+02 +1.629041e+03 +2.465704e+05 +1.520930e+07 -3.178260e+08 +8.457503e+10 -6.494601e+12 -7.647383e+14 -2.155794e+16 -3.071215e+18   
Q20-004   +3.998750e+00   -6.412744e-07 -6.588464e-02 -5.930913e-03 -1.201981e-01 -8.536560e+00 +1.942682e+03 -8.178271e+03 -4.594353e+05 -9.525287e+07 -2.452594e+11 -2.090889e+11 +9.390077e+13 +5.951395e+15 +4.989467e+18 -5.015887e+18   +7.260644e-07 +2.431549e-07 +1.429905e-03 +6.695202e-02 +2.225764e+00 +6.734995e+01 -2.042508e+03 +2.029180e+06 +3.696750e+08 -1.051774e+10 -1.783017e+12 +6.078737e+13 +4.363251e+15 -1.004615e+18 -5.457741e+19   
Q20-008   +3.998900e+00   +6.011973e-07 -6.569029e-02 -3.301118e-03 -3.930801e-02 -1.918607e+00 +2.169004e+03 +2.189324e+03 -1.132371e+05 +4.146480e+06 -2.496184e+11 -1.924097e+11 -8.390015e+12 -2.400524e+15 +5.276073e+18 -1.582590e+18   +1.035659e-06 -2.201028e-05 -6.205567e-04 +5.249559e-02 +1.618362e+00 -3.028113e+02 -2.110775e+03 +1.938409e+05 +1.761529e+07 +2.583045e+08 +2.378660e+10 -6.058904e+11 -3.724567e+15 -2.815594e+17 -1.823509e+19   
Q20-017   +3.997950e+00   +6.052014e-07 -6.582358e-02 -3.636476e-03 -5.891169e-02 -2.053564e+00 +2.021272e+03 +9.428442e+03 +9.515069e+04 -1.322481e+07 -2.561768e+11 -2.425013e+11 -1.677499e+13 -2.918000e+14 +5.409652e+18 -1.238808e+18   -2.086805e-06 -3.772153e-06 +9.580535e-03 +1.779644e-02 -5.278205e+00 -2.160331e+02 -2.758106e+04 +4.298260e+05 +4.977826e+07 +3.462762e+09 +7.863833e+10 +9.250723e+12 +2.585212e+12 +8.104351e+15 -1.082488e+19   
Q20-019   +3.998150e+00   +2.353293e-06 -6.538434e-02 +9.234523e-04 -8.464495e-02 -8.578317e-01 +2.051804e+03 -8.934242e+03 +5.999492e+05 +3.040319e+07 -2.472057e+11 +1.692513e+11 +5.220004e+12 -1.216012e+15 +5.413756e+18 +1.228410e+19   +6.451329e-07 +1.680636e-05 +8.274389e-04 -9.075145e-03 -7.587999e-01 -2.884309e+02 -3.276903e+04 +6.867616e+05 +6.775921e+07 +7.978375e+09 -4.448930e+11 +2.663432e+13 +2.036879e+15 -1.058266e+17 +5.034351e+18   
Q20-020   +3.997500e+00   +1.838198e-06 -6.612123e-02 -8.896660e-04 +2.189254e-02 -1.448836e+00 +2.224002e+03 +5.567707e+03 +6.997018e+05 +9.502859e+07 -2.577236e+11 +3.840318e+10 +1.657270e+13 -1.449992e+14 +5.161956e+18 -6.744395e+18   -7.559727e-07 -2.097447e-05 +6.110136e-03 +1.384535e-02 -3.791710e+00 -2.572580e+02 -2.223304e+04 -1.237407e+05 +3.246502e+07 +1.665065e+09 +6.886892e+10 -2.334554e+13 -1.384777e+15 -2.242010e+17 -2.456823e+19   
Q20-024   +3.998050e+00   +2.521659e-06 -6.536179e-02 +1.898275e-03 -9.278491e-02 -1.481745e+00 +1.901347e+03 -9.632011e+03 -4.366391e+04 +6.299624e+07 -2.546389e+11 +9.322067e+10 +6.841298e+12 -1.198026e+15 +5.103440e+18 +9.375928e+18   -7.733360e-07 -1.482687e-05 +6.043053e-03 -2.236739e-03 -3.047661e+00 -2.483392e+02 -2.317400e+04 +6.816533e+05 +5.177004e+06 +4.853574e+09 +5.312070e+10 -6.447188e+12 +6.558998e+14 -1.191990e+17 -1.467365e+19   
Q20-025   +3.997550e+00   +2.119572e-06 -6.542905e-02 +2.210112e-03 -3.582549e-02 -1.500552e+00 +1.959607e+03 +9.021533e+03 +2.577914e+06 -4.859519e+07 -2.693262e+11 +8.929667e+11 -5.019942e+13 -5.795360e+15 +4.643251e+18 -1.713036e+19   +3.093807e-06 -2.313381e-05 -8.096859e-03 -2.361970e-02 +4.715753e+00 -2.323951e+02 +1.663650e+04 -8.527110e+05 +1.607097e+07 +9.164693e+09 -4.424275e+11 -8.277410e+13 +5.330713e+15 +1.100693e+17 -3.040920e+19   
Q20-096   +3.998000e+00   +3.360243e-06 -6.577734e-02 +3.729667e-03 -5.130353e-03 +5.219645e-01 +2.041217e+03 -2.092821e+04 +1.340304e+05 -1.241707e+08 -2.361343e+11 +6.487546e+10 -2.049153e+13 -1.443569e+15 +4.948132e+18 +3.008474e+19   -3.132086e-07 -1.312278e-05 +4.474807e-03 +6.248902e-03 -1.994283e+00 -2.635738e+02 -1.985132e+04 -9.679020e+04 +8.927926e+07 -7.260110e+08 -3.216368e+11 -2.247775e+13 -1.910052e+15 -2.546778e+17 +1.655947e+19   
Q20-097   +3.997750e+00   +1.992225e-06 -6.602169e-02 -1.190075e-03 -8.803572e-02 -1.684572e+00 +1.871159e+03 +4.504596e+03 +6.320996e+05 +8.676408e+07 -2.581815e+11 +3.726221e+11 +5.842004e+12 -3.768267e+14 +5.030089e+18 +4.851231e+18   -3.285330e-07 +1.954442e-05 +3.183008e-03 -7.212740e-03 +2.501915e-01 -2.396113e+02 -8.484005e+03 +2.852184e+05 +2.417919e+07 +6.491126e+09 +2.483194e+11 +2.927277e+13 -4.953616e+14 -2.749447e+17 -1.523182e+19   
Q20-101   +3.996000e+00   +2.139808e-06 -6.593734e-02 +4.289177e-04 -5.355148e-02 -1.607641e+00 +1.928849e+03 -2.362245e+03 +3.381454e+05 +2.316403e+07 -2.486455e+11 +3.638614e+10 -1.624306e+13 -1.906737e+15 +5.327895e+18 +8.586371e+18   +1.334271e-06 -1.759506e-05 -2.493533e-03 +1.279363e-02 +2.655996e+00 -2.000545e+02 +3.872975e+03 +1.420700e+05 +1.494504e+07 +4.797307e+09 +1.398202e+11 -2.210761e+13 -9.900803e+14 -7.950443e+15 -1.103189e+19   
Q20-103   +3.997800e+00   +1.597629e-06 -6.577425e-02 +1.223860e-03 -1.766251e-02 +7.929239e-01 +1.921728e+03 -6.104375e+03 +3.548254e+05 +7.370296e+06 -2.480835e+11 -2.114039e+09 +1.777200e+13 +2.517892e+15 +5.324456e+18 +6.730677e+18   +1.827455e-06 -6.724866e-06 -4.819218e-03 +1.370453e-02 +3.355080e+00 -1.967995e+02 +1.854833e+04 +2.287266e+05 +3.028346e+07 +3.499637e+09 -3.077730e+11 -1.287391e+13 -5.905951e+14 +1.146684e+17 +7.732073e+18   
Q20-104   +3.999100e+00   +3.463912e-06 -6.640292e-02 +5.636923e-03 -4.560679e-02 +4.320542e+00 +2.251577e+03 -2.803883e+04 +5.835923e+05 +6.239209e+07 -2.618712e+11 -5.993624e+11 -2.759791e+13 +1.543485e+13 +4.106469e+18 +4.318592e+18   +1.189382e-06 -1.936505e-05 -2.239001e-03 +3.387567e-02 +1.376275e+00 -1.723684e+02 +6.512713e+03 +2.336505e+05 -3.365340e+07 +1.409690e+09 +8.476552e+11 +1.587867e+13 -1.238779e+15 -9.827979e+16 +7.559473e+19   
Q20-134   +3.997900e+00   +2.460968e-06 -6.573439e-02 +3.824811e-03 -7.863581e-02 +2.964844e+00 +2.095576e+03 -9.082728e+03 -6.009953e+05 +7.743563e+07 -2.561827e+11 +4.814443e+10 +2.072314e+13 +1.098373e+15 +5.213194e+18 -2.444663e+19   +6.665975e-07 +1.267734e-05 +1.406125e-04 +1.018804e-02 +4.265995e+00 -1.219825e+02 -1.360442e+04 +5.591408e+05 +8.310068e+07 +4.102799e+09 +4.654981e+11 -2.325364e+13 -7.072055e+13 +7.532392e+15 +8.961195e+18   
Q20-135   +3.997900e+00   +1.322493e-06 -6.542272e-02 -2.765972e-03 -1.294994e-01 -1.772472e+00 +2.045031e+03 +7.271950e+03 +1.519495e+05 +5.948781e+07 -2.499445e+11 +1.894316e+10 +1.893925e+13 +1.240964e+15 +5.241782e+18 +4.852888e+18   -3.185270e-07 -8.484447e-06 +2.833305e-03 +4.470805e-02 -8.480777e-01 -2.309025e+01 -1.182097e+04 +2.607672e+04 +1.128532e+07 -3.111346e+09 +4.256182e+10 -7.383114e+12 -6.674126e+14 +1.635234e+17 -8.368098e+18   
Q20-148   +3.998550e+00   -4.361751e-07 -6.597374e-02 -7.530845e-03 -3.681382e-02 -2.745345e+00 +2.116476e+03 +1.862499e+04 -4.229343e+04 +1.262634e+07 -2.517493e+11 -2.748671e+11 -1.472237e+13 -1.733483e+14 +5.347363e+18 -4.943860e+18   +1.387531e-06 -1.831975e-05 -2.174851e-03 +2.135228e-02 +1.033999e+00 -1.396057e+02 +3.901644e+03 +8.581706e+04 +3.321004e+07 -1.691483e+09 +7.232902e+10 -1.724482e+13 -3.031326e+14 -1.836359e+17 +1.824314e+19   
